urn,school_name,la_name,decision,c2,c2_evidence,c2_policy_url,c2_policy_year,years_found,years_not_applied,c5_note,sources_tried,notes,updated
101245,Robert Clack School,Barking and Dagenham,needs_manual,not checked,,,,,,,LBBD 'Moving to Secondary School' booklet is an encrypted PDF (not machine-readable here); no per-school cut-off table found on lbbd.gov.uk by search,,2026-09-12
141683,The Sydney Russell School,Barking and Dagenham,needs_manual,not checked,,,,,,,LBBD 'Moving to Secondary School' booklet is an encrypted PDF (not machine-readable here); no per-school cut-off table found on lbbd.gov.uk by search,,2026-09-12
136308,Ashmole Academy,Barnet,needs_manual,,,,,,,,"barnet.gov.uk allocation tables (2019, 2023, 2024, 2025 located by search) are behind Imperva bot protection; not bypassed. URLs: https://www.barnet.gov.uk/sites/default/files/2019-03/Allocation%20Table%202019.pdf ; https://www.barnet.gov.uk/sites/default/files/Allocation%20Table%202023.pdf ; https://www.barnet.gov.uk/sites/default/files/allocation_table_2024_final_1.pdf ; https://www.barnet.gov.uk/sites/default/files/secondary_transfer_-_how_places_were_allocated_updated_3_18.pdf",,2026-09-12
137645,Hendon School,Barnet,needs_manual,,,,,,,,"barnet.gov.uk allocation tables (2019, 2023, 2024, 2025 located by search) are behind Imperva bot protection; not bypassed. URLs: https://www.barnet.gov.uk/sites/default/files/2019-03/Allocation%20Table%202019.pdf ; https://www.barnet.gov.uk/sites/default/files/Allocation%20Table%202023.pdf ; https://www.barnet.gov.uk/sites/default/files/allocation_table_2024_final_1.pdf ; https://www.barnet.gov.uk/sites/default/files/secondary_transfer_-_how_places_were_allocated_updated_3_18.pdf",,2026-09-12
139594,The Archer Academy,Barnet,needs_manual,,,,,,,,"barnet.gov.uk allocation tables (2019, 2023, 2024, 2025 located by search) are behind Imperva bot protection; not bypassed. URLs: https://www.barnet.gov.uk/sites/default/files/2019-03/Allocation%20Table%202019.pdf ; https://www.barnet.gov.uk/sites/default/files/Allocation%20Table%202023.pdf ; https://www.barnet.gov.uk/sites/default/files/allocation_table_2024_final_1.pdf ; https://www.barnet.gov.uk/sites/default/files/secondary_transfer_-_how_places_were_allocated_updated_3_18.pdf",,2026-09-12
136418,The Compton School,Barnet,needs_manual,,,,,,,,"barnet.gov.uk allocation tables (2019, 2023, 2024, 2025 located by search) are behind Imperva bot protection; not bypassed. URLs: https://www.barnet.gov.uk/sites/default/files/2019-03/Allocation%20Table%202019.pdf ; https://www.barnet.gov.uk/sites/default/files/Allocation%20Table%202023.pdf ; https://www.barnet.gov.uk/sites/default/files/allocation_table_2024_final_1.pdf ; https://www.barnet.gov.uk/sites/default/files/secondary_transfer_-_how_places_were_allocated_updated_3_18.pdf",,2026-09-12
137965,Blackfen School for Girls,Bexley,excluded,,,,,"5 years (entries ~2017-2021): 3.7, 2.4, 2.0, 4.0, 3.3 miles",,"fails C5: CV about 0.27 (> 0.25); also Bexley publishes end-of-August final distances, not national offer day figures",https://www.bexley.gov.uk/sites/default/files/2021-09/Admission-to-secondary-schools-in-bexley-2022-2023.pdf,,2026-09-12
135600,Ark Academy,Brent,needs_more_years,"provisional pass (table criteria: EHCP, LAC, reserved Year 6, staff, sibling, distance); Ark banding and distance method not checked in policy",,,,"2024,2025",,,Brent page lists secondary allocation files for 2025 and 2026 only; 2024 file found by search,all-through: primary-phase admission may also carry a premium; 2026 figure exists but is outside window,2026-09-12
136656,Claremont High School,Brent,excluded,fail,Brent 2024/2025 allocation tables: 'Feeder School' (133-138 places) and 'Aptitude In Music' (20-27) criteria,https://www.brent.gov.uk/-/media/files/resident-documents/education-documents/how-places-were-offered---secondary-2025.pdf?rev=861b61bd405d4ba3842aaf2e6861c4e3&hash=BCFC16DB37039C7EBDCA965992D29D78,,,,,,,2026-09-12
140862,Michaela Community School,Brent,needs_manual,unclear (likely fail),Brent tables: priority for 'Children Who Live Within A 5 Mile Radius' (79-90 places); ranking within the radius not shown to be by distance (possibly random allocation),https://www.brent.gov.uk/-/media/files/resident-documents/education-documents/how-places-were-offered---secondary-2025.pdf?rev=861b61bd405d4ba3842aaf2e6861c4e3&hash=BCFC16DB37039C7EBDCA965992D29D78,,,,,,,2026-09-12
138457,Wembley High Technology College,Brent,excluded,fail,Brent 2024/2025 allocation tables: 'Feeder School-East Lane Primary School' and 'Feeder School' criteria,https://www.brent.gov.uk/-/media/files/resident-documents/education-documents/how-places-were-offered---secondary-2025.pdf?rev=861b61bd405d4ba3842aaf2e6861c4e3&hash=BCFC16DB37039C7EBDCA965992D29D78,,,,,,,2026-09-12
136709,Bullers Wood School,Bromley,needs_manual,,,,,,,,bromley.gov.uk secondary places page and guide checked; no per-school cut-off distances found; Internet Archive offline,,2026-09-12
136467,Chislehurst School for Girls,Bromley,needs_manual,,,,,,,,bromley.gov.uk secondary places page and guide checked; no per-school cut-off distances found; Internet Archive offline,,2026-09-12
137121,Harris Academy Beckenham,Bromley,excluded,fail,Year 6 banding test (12 Dec 2025) used to admit a range of abilities,https://www.harrisbeckenham.org.uk/156/academy-admissions,"current admissions page (2026 entry); banding assumed long-standing, earlier years not separately checked",,,,,,2026-09-12
137379,Harris Girls Academy Bromley,Bromley,needs_manual,unclear (Harris federation schools often band),,,,,,,school website did not respond; Bromley publishes no cut-offs found,,2026-09-12
